#start_time(samples),start_time(iso),end_time(samples),end_time(iso),current_mean(A),current_min(A),current_max(A),voltage_mean(V),voltage_min(V),voltage_max(V),power_mean(W),power_min(W),power_max(W),charge(C),charge(Ah),energy(J),energy(Wh)
121166160,2023-01-18T13:02:28.275758,147441792,2023-01-18T13:02:41.488159,0.00735425,0.00356617,0.0114036,3.27783,3.26145,3.29324,0.024105,0.0117281,0.0372439,0.0966187,2.68385e-05,0.316687,8.79687e-05
147449477,2023-01-18T13:02:41.490490,147455955,2023-01-18T13:02:41.499086,0.00947043,0.0090305,0.010036,3.27057,3.26713,3.27394,0.0309737,0.0295346,0.032823,3.06653e-05,8.51813e-09,0.000100293,2.78592e-08
157716149,2023-01-18T13:02:46.615056,184042200,2023-01-18T13:02:59.789649,0.00735246,0.00357216,0.0114395,3.27761,3.26145,3.29324,0.0240975,0.0117478,0.0373612,0.0967806,2.68835e-05,0.317196,8.811e-05
184049812,2023-01-18T13:02:59.791603,184056292,2023-01-18T13:02:59.793864,0.00947708,0.00922202,0.0100719,3.27053,3.26599,3.27394,0.0309951,0.0301819,0.032929,3.06962e-05,8.52674e-09,0.000100393,2.7887e-08
194205852,2023-01-18T13:03:04.824718,220860263,2023-01-18T13:03:18.202252,0.00734219,0.0035542,0.0114065,3.27787,3.26145,3.29324,0.0240658,0.0116968,0.0372698,0.0978508,2.71808e-05,0.32073,8.90916e-05
220867878,2023-01-18T13:03:18.203156,220874364,2023-01-18T13:03:18.204151,0.00949906,0.00926391,0.010018,3.2706,3.26713,3.27508,0.0310676,0.0302979,0.0327643,3.0796e-05,8.55443e-09,0.000100721,2.79781e-08
231031451,2023-01-18T13:03:23.223529,257283630,2023-01-18T13:03:36.430339,0.00734471,0.00357814,0.0113946,3.27776,3.26145,3.29324,0.0240732,0.0117756,0.0372276,0.0964073,2.67798e-05,0.315987,8.77742e-05
257291305,2023-01-18T13:03:36.432697,257297791,2023-01-18T13:03:36.435146,0.00948443,0.00892576,0.00987139,3.27081,3.26713,3.27508,0.0310217,0.0292021,0.0322735,3.07485e-05,8.54125e-09,0.000100572,2.79368e-08
267496478,2023-01-18T13:03:41.453986,293677760,2023-01-18T13:03:54.625967,0.00734334,0.00357216,0.0114305,3.27779,3.26032,3.29324,0.024069,0.0117478,0.0373189,0.0961291,2.67025e-05,0.315078,8.75217e-05
293685508,2023-01-18T13:03:54.628185,293691986,2023-01-18T13:03:54.637681,0.00947617,0.00906641,0.00990132,3.27088,3.26713,3.27394,0.0309954,0.029652,0.0323826,3.06838e-05,8.52329e-09,0.000100363,2.78787e-08
303924164,2023-01-18T13:03:59.676303,330008284,2023-01-18T13:04:12.735601,0.00734679,0.0035572,0.0114095,3.27778,3.26145,3.29324,0.0240802,0.0116985,0.0372505,0.0958173,2.66159e-05,0.314055,8.72375e-05
330015939,2023-01-18T13:04:12.736752,330022417,2023-01-18T13:04:12.738374,0.00945377,0.00894371,0.00992226,3.27111,3.26713,3.27508,0.0309243,0.029271,0.0324511,3.06113e-05,8.50314e-09,0.000100133,2.78147e-08
340257259,2023-01-18T13:04:17.867266,366685811,2023-01-18T13:04:31.104439,0.007343,0.00356318,0.0113916,3.27764,3.26145,3.29324,0.0240667,0.0117142,0.0372049,0.0970325,2.69535e-05,0.318024,8.83401e-05
366693456,2023-01-18T13:04:31.105796,366699934,2023-01-18T13:04:31.106972,0.00946799,0.00923997,0.00997613,3.27108,3.26713,3.27508,0.0309706,0.0302399,0.0326273,3.06573e-05,8.51593e-09,0.000100283,2.78563e-08
376862127,2023-01-18T13:04:36.138545,403547723,2023-01-18T13:04:49.476701,0.00733834,0.00356318,0.0114125,3.27797,3.26145,3.29324,0.0240539,0.0117223,0.0372862,0.0979139,2.71983e-05,0.320946,8.91516e-05
403555476,2023-01-18T13:04:49.477223,403561954,2023-01-18T13:04:49.477883,0.00946588,0.00905444,0.00988935,3.27112,3.26713,3.27508,0.0309641,0.0296334,0.0323435,3.06505e-05,8.51403e-09,0.000100262,2.78505e-08
413738853,2023-01-18T13:04:54.606438,440424579,2023-01-18T13:05:07.899163,0.007339,0.00353026,0.0113916,3.27776,3.26145,3.29324,0.0240545,0.011618,0.0371919,0.0979233,2.72009e-05,0.320956,8.91544e-05
440432063,2023-01-18T13:05:07.899614,440438540,2023-01-18T13:05:08.007792,0.00947552,0.00897065,0.0100001,3.27061,3.26713,3.27394,0.0309907,0.029349,0.0326942,3.0677e-05,8.52139e-09,0.000100332,2.78701e-08
450611572,2023-01-18T13:05:13.035136,477658999,2023-01-18T13:05:26.523401,0.00733422,0.00353625,0.0113976,3.27811,3.26145,3.29324,0.0240414,0.0116417,0.0372146,0.0991859,2.75516e-05,0.325129,9.03137e-05
477666636,2023-01-18T13:05:26.634160,477673114,2023-01-18T13:05:26.636990,0.00947998,0.00925493,0.010036,3.27138,3.26713,3.27508,0.0310126,0.0302896,0.0328458,3.06962e-05,8.52671e-09,0.000100419,2.78941e-08
487780572,2023-01-18T13:05:31.553044,525564584,2023-01-18T13:05:50.519140,0.00735621,0.00354223,0.0114215,3.27805,3.26145,3.29437,0.024113,0.0116574,0.0372896,0.138974,3.86038e-05,0.455544,0.00012654
