type,iteration,number,time,retransmissions
s,0,1024, 24165430, 0
e,0,1024, 21274, 0
s,1,1024, 24393558, 1
e,1,1024, 22322, 0
s,2,1024, 24072570, 0
e,2,1024, 19772, 0
s,3,1024, 24276786, 0
e,3,1024, 21830, 0
s,4,1024, 24215820, 0
e,4,1024, 19206, 0
s,5,1024, 24243084, 0
e,5,1024, 23276, 0
s,6,1024, 24276654, 0
e,6,1024, 21008, 0
s,7,1024, 24397192, 0
e,7,1024, 18112, 0
s,8,1024, 24267686, 0
e,8,1024, 18710, 0
s,9,1024, 24129932, 0
e,9,1024, 20820, 0
s,0,2025, 45956366, 1
e,0,2025, 20852, 0
s,1,2025, 45727650, 0
e,1,2025, 19242, 0
s,2,2025, 45818886, 0
e,2,2025, 21584, 0
s,3,2025, 45971188, 0
e,3,2025, 21362, 0
s,4,2025, 45956030, 1
e,4,2025, 19926, 0
s,5,2025, 45760438, 0
e,5,2025, 21238, 0
s,6,2025, 45799334, 0
e,6,2025, 20754, 0
s,7,2025, 45803668, 0
e,7,2025, 22524, 0
s,8,2025, 45833418, 0
e,8,2025, 23346, 0
s,9,2025, 45633508, 0
e,9,2025, 21064, 0
s,0,3025, 67306166, 0
e,0,3025, 21878, 0
s,1,3025, 67148190, 0
e,1,3025, 20748, 0
s,2,3025, 67241548, 0
e,2,3025, 19114, 0
s,3,3025, 67308428, 0
e,3,3025, 21766, 0
s,4,3025, 67298224, 0
e,4,3025, 21648, 0
s,5,3025, 67410866, 1
e,5,3025, 23802, 0
s,6,3025, 67118784, 0
e,6,3025, 23182, 0
s,7,3025, 67286110, 0
e,7,3025, 19642, 0
s,8,3025, 67451688, 0
e,8,3025, 21572, 0
s,9,3025, 67305696, 0
e,9,3025, 18180, 0
s,0,4096, 90507420, 0
e,0,4096, 18972, 0
s,1,4096, 90326374, 0
e,1,4096, 19800, 0
s,2,4096, 90410752, 0
e,2,4096, 21576, 0
s,3,4096, 90740344, 1
e,3,4096, 20748, 0
s,4,4096, 91371920, 3
e,4,4096, 20808, 0
s,5,4096, 90424160, 0
e,5,4096, 21590, 0
s,6,4096, 90532490, 0
e,6,4096, 20800, 0
s,7,4096, 90484276, 0
e,7,4096, 19878, 0
s,8,4096, 90589926, 0
e,8,4096, 21776, 0
s,9,4096, 90365438, 0
e,9,4096, 19712, 0
s,0,5041, 111196390, 1
e,0,5041, 22106, 0
s,1,5041, 110819308, 0
e,1,5041, 22240, 0
s,2,5041, 110938666, 0
e,2,5041, 20660, 0
s,3,5041, 110878516, 0
e,3,5041, 19558, 0
s,4,5041, 110731920, 0
