type,iteration,number,time,retransmissions
s,0,1024, 876628, 0
e,0,1024, 212, 0
s,1,1024, 864650, 0
e,1,1024, 212, 0
s,2,1024, 864904, 0
e,2,1024, 212, 0
s,3,1024, 847130, 0
e,3,1024, 212, 0
s,4,1024, 886014, 0
e,4,1024, 212, 0
s,5,1024, 892070, 0
e,5,1024, 212, 0
s,6,1024, 872048, 0
e,6,1024, 212, 0
s,7,1024, 895462, 0
e,7,1024, 212, 0
s,8,1024, 867208, 0
e,8,1024, 212, 0
s,9,1024, 886446, 0
e,9,1024, 214, 0
s,0,2025, 1228242, 0
e,0,2025, 300, 0
s,1,2025, 1262618, 0
e,1,2025, 300, 0
s,2,2025, 1243456, 0
e,2,2025, 300, 0
s,3,2025, 1220512, 0
e,3,2025, 302, 0
s,4,2025, 1245358, 0
e,4,2025, 300, 0
s,5,2025, 1220534, 0
e,5,2025, 300, 0
s,6,2025, 1258166, 0
e,6,2025, 300, 0
s,7,2025, 1258250, 0
e,7,2025, 300, 0
s,8,2025, 1241190, 0
e,8,2025, 300, 0
s,9,2025, 1249826, 0
e,9,2025, 300, 0
s,0,3025, 1489708, 0
e,0,3025, 368, 0
s,1,3025, 1519548, 0
e,1,3025, 368, 0
s,2,3025, 1535340, 0
e,2,3025, 368, 0
s,3,3025, 1517162, 0
e,3,3025, 368, 0
s,4,3025, 1522552, 0
e,4,3025, 368, 0
s,5,3025, 1533196, 0
e,5,3025, 368, 0
s,6,3025, 1539908, 0
e,6,3025, 368, 0
s,7,3025, 1539902, 0
e,7,3025, 368, 0
s,8,3025, 1504296, 0
e,8,3025, 368, 0
s,9,3025, 1496018, 0
e,9,3025, 368, 0
s,0,4096, 1800710, 0
e,0,4096, 428, 0
s,1,4096, 1765006, 0
e,1,4096, 430, 0
s,2,4096, 1771170, 0
e,2,4096, 430, 0
s,3,4096, 1776176, 0
e,3,4096, 428, 0
s,4,4096, 1751888, 0
e,4,4096, 430, 0
s,5,4096, 1772114, 0
e,5,4096, 428, 0
s,6,4096, 1744040, 0
e,6,4096, 428, 0
s,7,4096, 1778432, 0
e,7,4096, 430, 0
s,8,4096, 1780096, 0
e,8,4096, 428, 0
s,9,4096, 1784316, 0
e,9,4096, 428, 0
s,0,5041, 1962884, 0
e,0,5041, 476, 0
s,1,5041, 1991866, 0
e,1,5041, 476, 0
s,2,5041, 1993474, 0
e,2,5041, 476, 0
s,3,5041, 1980132, 0
e,3,5041, 476, 0
s,4,5041, 1973894, 0
e,4,5041, 476, 0
s,5,5041, 1960286, 0
e,5,5041, 476, 0
s,6,5041, 1964076, 0
e,6,5041, 476, 0
s,7,5041, 1957182, 0
e,7,5041, 476, 0
s,8,5041, 1959520, 0
e,8,5041, 476, 0
s,9,5041, 1965202, 0
e,9,5041, 476, 0
s,0,6084, 2138186, 0
e,0,6084, 524, 0
s,1,6084, 2185822, 0
e,1,6084, 524, 0
s,2,6084, 2171476, 0
e,2,6084, 524, 0
s,3,6084, 2197268, 0
e,3,6084, 524, 0
s,4,6084, 2171458, 0
e,4,6084, 524, 0
s,5,6084, 2177976, 0
e,5,6084, 524, 0
s,6,6084, 2181392, 0
e,6,6084, 524, 0
s,7,6084, 2172260, 0
e,7,6084, 524, 0
s,8,6084, 2187280, 0
e,8,6084, 526, 0
s,9,6084, 2172956, 0
e,9,6084, 524, 0
s,0,7056, 2395894, 0
e,0,7056, 564, 0
s,1,7056, 2358582, 0
e,1,7056, 566, 0
s,2,7056, 2340472, 0
e,2,7056, 566, 0
s,3,7056, 2381712, 0
e,3,7056, 564, 0
s,4,7056, 2394140, 0
e,4,7056, 564, 0
s,5,7056, 2359000, 0
e,5,7056, 564, 0
s,6,7056, 2354520, 0
e,6,7056, 564, 0
s,7,7056, 2361654, 0
e,7,7056, 564, 0
s,8,7056, 2362944, 0
e,8,7056, 564, 0
s,9,7056, 2346574, 0
e,9,7056, 564, 0
s,0,8100, 2502038, 0
e,0,8100, 606, 0
s,1,8100, 2520868, 0
e,1,8100, 604, 0
s,2,8100, 2487278, 0
e,2,8100, 604, 0
s,3,8100, 2525812, 0
e,3,8100, 606, 0
s,4,8100, 2525628, 0
e,4,8100, 606, 0
s,5,8100, 2533310, 0
e,5,8100, 606, 0
s,6,8100, 2510924, 0
e,6,8100, 606, 0
s,7,8100, 2725502, 1
e,7,8100, 606, 0
s,8,8100, 2523564, 0
e,8,8100, 606, 0
s,9,8100, 2502524, 0
e,9,8100, 606, 0
s,0,9025, 2690462, 0
e,0,9025, 640, 0
s,1,9025, 2705758, 0
e,1,9025, 640, 0
s,2,9025, 2689602, 0
e,2,9025, 640, 0
s,3,9025, 2653550, 0
e,3,9025, 640, 0
s,4,9025, 2640802, 0
e,4,9025, 638, 0
s,5,9025, 2672508, 0
e,5,9025, 640, 0
s,6,9025, 2709402, 0
e,6,9025, 640, 0
s,7,9025, 2650172, 0
e,7,9025, 640, 0
s,8,9025, 2703886, 0
e,8,9025, 640, 0
s,9,9025, 2662264, 0
e,9,9025, 640, 0
s,0,10000, 2815412, 0
e,0,10000, 672, 0
s,1,10000, 2802940, 0
e,1,10000, 672, 0
s,2,10000, 2826388, 0
e,2,10000, 674, 0
s,3,10000, 2808138, 0
e,3,10000, 672, 0
s,4,10000, 2808512, 0
e,4,10000, 672, 0
s,5,10000, 2794352, 0
e,5,10000, 672, 0
s,6,10000, 2785212, 0
e,6,10000, 672, 0
s,7,10000, 2857930, 0
e,7,10000, 674, 0
s,8,10000, 2801550, 0
e,8,10000, 674, 0
s,9,10000, 2788152, 0
e,9,10000, 674, 0
