type,iteration,number,time,retransmissions
s,0,1024,18124072.5,0
e,0,1024,15955.5,0
s,1,1024,18295168.5,1
e,1,1024,16741.5,0
s,2,1024,18054427.5,0
e,2,1024,14829.0,0
s,3,1024,18207589.5,0
e,3,1024,16372.5,0
s,4,1024,18161865.0,0
e,4,1024,14404.5,0
s,5,1024,18182313.0,0
e,5,1024,17457.0,0
s,6,1024,18207490.5,0
e,6,1024,15756.0,0
s,7,1024,18297894.0,0
e,7,1024,13584.0,0
s,8,1024,18200764.5,0
e,8,1024,14032.5,0
s,9,1024,18097449.0,0
e,9,1024,15615.0,0
s,0,2025,34467274.5,1
e,0,2025,15639.0,0
s,1,2025,34295737.5,0
e,1,2025,14431.5,0
s,2,2025,34364164.5,0
e,2,2025,16188.0,0
s,3,2025,34478391.0,0
e,3,2025,16021.5,0
s,4,2025,34467022.5,1
e,4,2025,14944.5,0
s,5,2025,34320328.5,0
e,5,2025,15928.5,0
s,6,2025,34349500.5,0
e,6,2025,15565.5,0
s,7,2025,34352751.0,0
e,7,2025,16893.0,0
s,8,2025,34375063.5,0
e,8,2025,17509.5,0
s,9,2025,34225131.0,0
e,9,2025,15798.0,0
s,0,3025,50479624.5,0
e,0,3025,16408.5,0
s,1,3025,50361142.5,0
e,1,3025,15561.0,0
s,2,3025,50431161.0,0
e,2,3025,14335.5,0
s,3,3025,50481321.0,0
e,3,3025,16324.5,0
s,4,3025,50473668.0,0
e,4,3025,16236.0,0
s,5,3025,50558149.5,1
e,5,3025,17851.5,0
s,6,3025,50339088.0,0
e,6,3025,17386.5,0
s,7,3025,50464582.5,0
e,7,3025,14731.5,0
s,8,3025,50588766.0,0
e,8,3025,16179.0,0
s,9,3025,50479272.0,0
e,9,3025,13635.0,0
s,0,4096,67880565.0,0
e,0,4096,14229.0,0
s,1,4096,67744780.5,0
e,1,4096,14850.0,0
s,2,4096,67808064.0,0
e,2,4096,16182.0,0
s,3,4096,68055258.0,1
e,3,4096,15561.0,0
s,4,4096,68528940.0,3
e,4,4096,15606.0,0
s,5,4096,67818120.0,0
e,5,4096,16192.5,0
s,6,4096,67899367.5,0
e,6,4096,15600.0,0
s,7,4096,67863207.0,0
e,7,4096,14908.5,0
s,8,4096,67942444.5,0
e,8,4096,16332.0,0
s,9,4096,67774078.5,0
e,9,4096,14784.0,0
s,0,5041,83397292.5,1
e,0,5041,16579.5,0
s,1,5041,83114481.0,0
e,1,5041,16680.0,0
s,2,5041,83203999.5,0
e,2,5041,15495.0,0
s,3,5041,83158887.0,0
e,3,5041,14668.5,0
s,4,5041,83048940.0,0
e,4,5041,15997.5,0
s,5,5041,83335612.5,0
e,5,5041,14424.0,0
s,6,5041,83098131.0,0
e,6,5041,14422.5,0
s,7,5041,83105803.5,0
e,7,5041,14683.5,0
s,8,5041,83304361.5,1
e,8,5041,14887.5,0
s,9,5041,83216967.0,1
e,9,5041,15165.0,0
s,0,6084,100100422.5,1
e,0,6084,16264.5,0
s,1,6084,100322770.5,2
e,1,6084,15031.5,0
s,2,6084,100394344.5,2
e,2,6084,14833.5,0
s,3,6084,100439304.0,3
e,3,6084,16207.5,0
s,4,6084,100166028.0,2
e,4,6084,16968.0,0
s,5,6084,100166028.0,2
e,5,6084,16968.0,0
s,6,6084,100166028.0,2
e,6,6084,16968.0,0
s,7,6084,100166028.0,2
e,7,6084,16968.0,0
s,8,6084,100166028.0,2
e,8,6084,16968.0,0
s,9,6084,100166028.0,2
e,9,6084,16968.0,0
s,0,7056,100100422.5,1
e,0,7056,16264.5,0
s,1,7056,100322770.5,2
e,1,7056,15031.5,0
s,2,7056,100394344.5,2
e,2,7056,14833.5,0
s,3,7056,100439304.0,3
e,3,7056,16207.5,0
s,4,7056,100166028.0,2
e,4,7056,16968.0,0
s,5,7056,100166028.0,2
e,5,7056,16968.0,0
s,6,7056,100166028.0,2
e,6,7056,16968.0,0
s,7,7056,100166028.0,2
e,7,7056,16968.0,0
s,8,7056,100166028.0,2
e,8,7056,16968.0,0
s,9,7056,100166028.0,2
e,9,7056,16968.0,0
s,0,8100,100100422.5,1
e,0,8100,16264.5,0
s,1,8100,100322770.5,2
e,1,8100,15031.5,0
s,2,8100,100394344.5,2
e,2,8100,14833.5,0
s,3,8100,100439304.0,3
e,3,8100,16207.5,0
s,4,8100,100166028.0,2
e,4,8100,16968.0,0
s,5,8100,100166028.0,2
e,5,8100,16968.0,0
s,6,8100,100166028.0,2
e,6,8100,16968.0,0
s,7,8100,100166028.0,2
e,7,8100,16968.0,0
s,8,8100,100166028.0,2
e,8,8100,16968.0,0
s,9,8100,100166028.0,2
e,9,8100,16968.0,0
s,0,9025,100100422.5,1
e,0,9025,16264.5,0
s,1,9025,100322770.5,2
e,1,9025,15031.5,0
s,2,9025,100394344.5,2
e,2,9025,14833.5,0
s,3,9025,100439304.0,3
e,3,9025,16207.5,0
s,4,9025,100166028.0,2
e,4,9025,16968.0,0
s,5,9025,100166028.0,2
e,5,9025,16968.0,0
s,6,9025,100166028.0,2
e,6,9025,16968.0,0
s,7,9025,100166028.0,2
e,7,9025,16968.0,0
s,8,9025,100166028.0,2
e,8,9025,16968.0,0
s,9,9025,100166028.0,2
e,9,9025,16968.0,0
s,0,10000,100100422.5,1
e,0,10000,16264.5,0
s,1,10000,100322770.5,2
e,1,10000,15031.5,0
s,2,10000,100394344.5,2
e,2,10000,14833.5,0
s,3,10000,100439304.0,3
e,3,10000,16207.5,0
s,4,10000,100166028.0,2
e,4,10000,16968.0,0
s,5,10000,100166028.0,2
e,5,10000,16968.0,0
s,6,10000,100166028.0,2
e,6,10000,16968.0,0
s,7,10000,100166028.0,2
e,7,10000,16968.0,0
s,8,10000,100166028.0,2
e,8,10000,16968.0,0
s,9,10000,100166028.0,2
e,9,10000,16968.0,0
