type,iteration,number,time,retransmissions
s,0,1024, 14042206, 1
e,0,1024, 3458, 0
s,1,1024, 13786304, 0
e,1,1024, 3458, 0
s,2,1024, 13756810, 0
e,2,1024, 3458, 0
s,3,1024, 13856788, 0
e,3,1024, 3458, 0
s,4,1024, 13913076, 0
e,4,1024, 3460, 0
s,5,1024, 13896018, 0
e,5,1024, 3458, 0
s,6,1024, 13959388, 0
e,6,1024, 3458, 0
s,7,1024, 13817396, 0
e,7,1024, 3460, 0
s,8,1024, 14331362, 2
e,8,1024, 3460, 0
s,9,1024, 13964192, 0
e,9,1024, 3458, 0
s,0,2025, 27467216, 0
e,0,2025, 6840, 0
s,1,2025, 27488652, 0
e,1,2025, 6842, 0
s,2,2025, 27475312, 0
e,2,2025, 6838, 0
s,3,2025, 27432530, 0
e,3,2025, 6840, 0
s,4,2025, 27510266, 0
e,4,2025, 6840, 0
s,5,2025, 27441848, 0
e,5,2025, 6838, 0
s,6,2025, 27690132, 1
e,6,2025, 6840, 0
s,7,2025, 27559874, 0
e,7,2025, 6840, 0
s,8,2025, 27390470, 0
e,8,2025, 6838, 0
s,9,2025, 27439036, 0
e,9,2025, 6840, 0
s,0,3025, 41186378, 0
e,0,3025, 10214, 0
s,1,3025, 41089270, 0
e,1,3025, 10216, 0
s,2,3025, 41319356, 1
e,2,3025, 10214, 0
s,3,3025, 41389226, 2
e,3,3025, 10214, 0
s,4,3025, 41142324, 0
e,4,3025, 10214, 0
s,5,3025, 41319376, 1
e,5,3025, 10214, 0
s,6,3025, 41942848, 3
e,6,3025, 10216, 0
s,7,3025, 41319226, 0
e,7,3025, 10216, 0
s,8,3025, 41104768, 0
e,8,3025, 10216, 0
s,9,3025, 41424516, 1
e,9,3025, 10218, 0
s,0,4096, 55685774, 0
e,0,4096, 13830, 0
s,1,4096, 55930730, 1
e,1,4096, 13836, 0
s,2,4096, 55975300, 1
e,2,4096, 13830, 0
s,3,4096, 55797902, 0
e,3,4096, 13832, 0
s,4,4096, 56176132, 2
e,4,4096, 13830, 0
s,5,4096, 55543518, 0
e,5,4096, 13832, 0
s,6,4096, 56069812, 1
e,6,4096, 13830, 0
s,7,4096, 55765630, 0
e,7,4096, 13830, 0
s,8,4096, 55653620, 0
e,8,4096, 13830, 0
s,9,4096, 55933768, 0
e,9,4096, 13830, 0
s,0,5041, 68871794, 1
e,0,5041, 17022, 0
s,1,5041, 68949396, 1
e,1,5041, 17022, 0
s,2,5041, 68919042, 1
e,2,5041, 17020, 0
s,3,5041, 68903910, 1
e,3,5041, 17022, 0
s,4,5041, 68830584, 0
e,4,5041, 17022, 0
s,5,5041, 68759306, 0
e,5,5041, 17022, 0
s,6,5041, 68466220, 0
e,6,5041, 17022, 0
s,7,5041, 68681220, 0
e,7,5041, 17028, 0
s,8,5041, 68809518, 1
e,8,5041, 17022, 0
s,9,5041, 69069848, 1
e,9,5041, 17020, 0
s,0,6084, 82665990, 0
e,0,6084, 20544, 0
s,1,6084, 83452600, 2
e,1,6084, 20544, 0
s,2,6084, 83020030, 1
e,2,6084, 20542, 0
s,3,6084, 82887594, 0
e,3,6084, 20542, 0
s,4,6084, 82760452, 0
e,4,6084, 20540, 0
s,5,6084, 82972216, 0
e,5,6084, 20542, 0
s,6,6084, 83436530, 1
e,6,6084, 20542, 0
s,7,6084, 83312274, 1
e,7,6084, 20542, 0
s,8,6084, 82941814, 1
e,8,6084, 20542, 0
s,9,6084, 82697332, 0
e,9,6084, 20544, 0
s,0,7056, 96223066, 1
e,0,7056, 23824, 0
s,1,7056, 96143048, 0
e,1,7056, 23824, 0
s,2,7056, 96178728, 1
e,2,7056, 23822, 0
s,3,7056, 96695850, 2
e,3,7056, 23824, 0
s,4,7056, 96827760, 3
e,4,7056, 23832, 0
s,5,7056, 96421974, 1
e,5,7056, 23824, 0
s,6,7056, 96580374, 2
e,6,7056, 23824, 0
s,7,7056, 96195834, 1
e,7,7056, 23834, 0
s,8,7056, 96282408, 1
e,8,7056, 23822, 0
s,9,7056, 96205522, 1
e,9,7056, 23822, 0
s,0,8100, 110232892, 0
e,0,8100, 27348, 0
s,1,8100, 110788474, 2
e,1,8100, 27348, 0
s,2,8100, 110657160, 2
e,2,8100, 27348, 0
s,3,8100, 110657160, 2
e,3,8100, 27348, 0
s,4,8100, 110871100, 3
e,4,8100, 27348, 0
s,5,8100, 110301402, 0
e,5,8100, 27360, 0
s,6,8100, 110638768, 1
e,6,8100, 27348, 0
s,7,8100, 110254616, 0
e,7,8100, 27350, 0
s,8,8100, 110877354, 2
e,8,8100, 27348, 0
s,9,8100, 110496392, 1
e,9,8100, 27346, 0
s,0,9025, 122741084, 0
e,0,9025, 30470, 0
s,1,9025, 122912156, 0
e,1,9025, 30470, 0
s,2,9025, 123232892, 1
e,2,9025, 30472, 0
s,3,9025, 123767014, 4
e,3,9025, 30470, 0
s,4,9025, 123295136, 1
e,4,9025, 30470, 0
s,5,9025, 122865484, 0
e,5,9025, 30472, 0
s,6,9025, 123040762, 0
e,6,9025, 30472, 0
s,7,9025, 122923004, 0
e,7,9025, 30472, 0
s,8,9025, 123019898, 1
e,8,9025, 30470, 0
s,9,9025, 122986380, 1
e,9,9025, 30470, 0
s,0,10000, 136376762, 0
e,0,10000, 33764, 0
s,1,10000, 136921934, 3
e,1,10000, 33762, 0
s,2,10000, 137147766, 4
e,2,10000, 33776, 0
s,3,10000, 136373430, 1
e,3,10000, 33764, 0
s,4,10000, 136377254, 1
e,4,10000, 33764, 0
s,5,10000, 136071896, 0
e,5,10000, 33762, 0
s,6,10000, 136519780, 0
e,6,10000, 33762, 0
s,7,10000, 137236908, 4
e,7,10000, 33764, 0
s,8,10000, 136208696, 1
e,8,10000, 33764, 0
s,9,10000, 136579074, 1
e,9,10000, 33762, 0
