type,iteration,number,time,retransmissions
s,0,1024, 25200484, 4
e,0,1024, 15054, 0
s,1,1024, 25149368, 4
e,1,1024, 15058, 0
s,2,1024, 24929114, 3
e,2,1024, 15060, 0
s,3,1024, 24227880, 0
e,3,1024, 15058, 0
s,4,1024, 24141760, 0
e,4,1024, 15054, 0
s,5,1024, 24532092, 1
e,5,1024, 15058, 0
s,6,1024, 24412840, 1
e,6,1024, 15064, 0
s,7,1024, 24286034, 0
e,7,1024, 15060, 0
s,8,1024, 24266472, 0
e,8,1024, 15060, 0
s,9,1024, 24232326, 0
e,9,1024, 15036, 0
s,0,2025, 45836556, 0
e,0,2025, 15056, 0
s,1,2025, 45819868, 0
e,1,2025, 15058, 0
s,2,2025, 48941098, 12
e,2,2025, 15062, 0
s,3,2025, 45971508, 1
e,3,2025, 15058, 0
s,4,2025, 46459492, 2
e,4,2025, 15054, 0
s,5,2025, 45838262, 0
e,5,2025, 15058, 0
s,6,2025, 45775736, 0
e,6,2025, 15064, 0
s,7,2025, 45848710, 0
e,7,2025, 15060, 0
s,8,2025, 45840740, 0
e,8,2025, 15058, 0
s,9,2025, 45825536, 0
e,9,2025, 15038, 0
s,0,3025, 67983072, 2
e,0,3025, 15056, 0
s,1,3025, 67414624, 0
e,1,3025, 15058, 0
s,2,3025, 67540152, 0
e,2,3025, 15060, 0
s,3,3025, 67911684, 2
e,3,3025, 15060, 0
s,4,3025, 67894510, 2
e,4,3025, 15052, 0
s,5,3025, 67477954, 0
e,5,3025, 15060, 0
s,6,3025, 67488758, 0
e,6,3025, 15062, 0
s,7,3025, 67548688, 0
e,7,3025, 15062, 0
s,8,3025, 67236554, 0
e,8,3025, 15058, 0
s,9,3025, 67731450, 1
e,9,3025, 15038, 0
s,0,4096, 90528842, 0
e,0,4096, 15056, 0
s,1,4096, 90557910, 0
e,1,4096, 15058, 0
s,2,4096, 90580610, 0
e,2,4096, 15060, 0
s,3,4096, 90654406, 0
e,3,4096, 15060, 0
s,4,4096, 90412652, 0
e,4,4096, 15052, 0
s,5,4096, 90627966, 0
e,5,4096, 15060, 0
s,6,4096, 90706150, 1
e,6,4096, 15064, 0
s,7,4096, 90593668, 0
e,7,4096, 15060, 0
s,8,4096, 90816660, 1
e,8,4096, 15060, 0
s,9,4096, 90748460, 1
e,9,4096, 15038, 0
s,0,5041, 110980936, 0
e,0,5041, 15056, 0
s,1,5041, 110973358, 0
e,1,5041, 15058, 0
s,2,5041, 110942926, 0
e,2,5041, 15062, 0
s,3,5041, 111046022, 0
e,3,5041, 15058, 0
s,4,5041, 110909338, 0
e,4,5041, 15054, 0
s,5,5041, 110919364, 0
e,5,5041, 15060, 0
s,6,5041, 111011922, 0
e,6,5041, 15064, 0
s,7,5041, 111176016, 1
e,7,5041, 15062, 0
s,8,5041, 111260992, 1
e,8,5041, 15058, 0
s,9,5041, 110930340, 0
e,9,5041, 15038, 0
s,0,6084, 133328008, 0
e,0,6084, 15056, 0
s,1,6084, 133513728, 0
e,1,6084, 15058, 0
s,2,6084, 133860462, 2
e,2,6084, 15062, 0
s,3,6084, 133882210, 1
e,3,6084, 15058, 0
s,4,6084, 133778502, 1
e,4,6084, 15054, 0
s,5,6084, 134061018, 1
e,5,6084, 15058, 0
s,6,6084, 133673569, 0
e,6,6084, 15064, 0
s,7,6084, 134087286, 2
e,7,6084, 15060, 0
s,8,6084, 133600024, 1
e,8,6084, 15058, 0
s,9,6084, 134592648, 4
e,9,6084, 15038, 0
s,0,7056, 154345588, 0
e,0,7056, 15056, 0
s,1,7056, 155807922, 5
e,1,7056, 15058, 0
s,2,7056, 154949968, 2
e,2,7056, 15062, 0
s,3,7056, 154535118, 0
e,3,7056, 15060, 0
s,4,7056, 154802298, 2
e,4,7056, 15054, 0
s,5,7056, 154489204, 0
e,5,7056, 15058, 0
s,6,7056, 154860260, 2
e,6,7056, 15064, 0
s,7,7056, 154716716, 1
e,7,7056, 15060, 0
s,8,7056, 154570380, 0
e,8,7056, 15058, 0
s,9,7056, 154358432, 0
e,9,7056, 15038, 0
s,0,8100, 176850582, 0
e,0,8100, 15058, 0
s,1,8100, 177891640, 3
e,1,8100, 15058, 0
s,2,8100, 177857068, 3
e,2,8100, 15062, 0
s,3,8100, 177291386, 1
e,3,8100, 15060, 0
s,4,8100, 177043292, 1
e,4,8100, 15054, 0
s,5,8100, 176922698, 0
e,5,8100, 15058, 0
s,6,8100, 177444666, 1
e,6,8100, 15064, 0
s,7,8100, 177137318, 0
e,7,8100, 15060, 0
s,8,8100, 177006304, 0
e,8,8100, 15060, 0
s,9,8100, 177380830, 2
e,9,8100, 15038, 0
s,0,9025, 197115174, 0
e,0,9025, 15054, 0
s,1,9025, 197571982, 3
e,1,9025, 15058, 0
s,2,9025, 197000107, 0
e,2,9025, 15060, 0
s,3,9025, 197113478, 1
e,3,9025, 15060, 0
s,4,9025, 197216038, 1
e,4,9025, 15054, 0
s,5,9025, 197298352, 1
e,5,9025, 15062, 0
s,6,9025, 197311196, 2
e,6,9025, 15062, 0
s,7,9025, 197314820, 1
e,7,9025, 15060, 0
s,8,9025, 197347920, 1
e,8,9025, 15058, 0
s,9,9025, 197283880, 1
e,9,9025, 15036, 0
s,0,10000, 218083862, 0
e,0,10000, 15054, 0
s,1,10000, 218321476, 1
e,1,10000, 15058, 0
s,2,10000, 218098980, 0
e,2,10000, 15062, 0
s,3,10000, 218864400, 3
e,3,10000, 15060, 0
s,4,10000, 218638116, 3
e,4,10000, 15054, 0
s,5,10000, 218134254, 0
e,5,10000, 15058, 0
s,6,10000, 218728866, 2
e,6,10000, 15064, 0
s,7,10000, 218790336, 3
e,7,10000, 15060, 0
s,8,10000, 218546256, 1
e,8,10000, 15058, 0
s,9,10000, 218220908, 0
e,9,10000, 15038, 0
